series_path,episode_path,title,language,episode,web_url,audio_url,video_url,operation_id,time,audio,timings
conversations-with-tyler,20-malcolm-gladwell-tyler-cowen,Malcolm Gladwell Wants to Make the World Safe for Mediocrity,en-US,20,https://medium.com/conversations-with-tyler/malcolm-gladwell-podcast-outliers-tyler-cowen-3abdf99068ee,https://traffic.libsyn.com/secure/cowenconvos/312517078-conversationswithtyler-malcolm-gladwell-podcast.mp3,https://youtu.be/ehlhrqSWPbo,,,,20-malcolm-gladwell-times.json
freakonomics,280-why-is-my-life-so-hard,Why Is My Life So Hard?,en-US,280,http://freakonomics.com/podcast/why-is-my-life-so-hard/,https://content.production.cdn.art19.com/segment_lists/e32560fa-8e53-4f39-b32b-70b95fa367ad/freakonomics_podcast031517.mp3,,6099084424922845671,,why-is-my-life-so-hard.mp3,
on-being-with-krista-tippett,2018-02-02-brené-brown,"Brené Brown
Strong Back, Soft Front, Wild Heart",en-US,,https://onbeing.org/programs/brene-brown-strong-back-soft-front-wild-heart-feb2018/,http://feeds.soundcloud.com/stream/396515874-brene-brown-strong-back-soft-front-wild-heart-feb2018.mp3,,,,,
reply-all,132-negative-mount-pleasant,Negative Mount Pleasant,en-US,132,https://www.gimletmedia.com/reply-all/132-negative-mount-pleasant,https://dcs.megaphone.fm/GLT9539271079.mp3,,,,,
radiolab,henrietta-lacks,Henrietta Lacks,en-US,,https://www.wnycstudios.org/story/radiolab-extra-henrietta-lacks,https://www.podtrac.com/pts/redirect.mp3/audio.wnyc.org/rl_extra/rl_extra17henriettalacks.mp3,,,35:13:00,,
uncivil,uncivil-the-ring,The Ring,en-US,,https://www.gimletmedia.com/uncivil/the-ring,https://traffic.megaphone.fm/GLT6380017778.mp3,,,,the-ring.mp3,
uncivil,uncivil-the-portrait,The Portrait,en-US,,https://www.gimletmedia.com/uncivil/the-portrait,https://traffic.megaphone.fm/GLT5787464345.mp3,,,,,
uncivil,uncivil-the-assets,The Assets,en-US,,https://www.gimletmedia.com/uncivil/the-assets,https://traffic.megaphone.fm/GLT5038004341.mp3,,,,,
science-vs,the-science-of-being-transgender,The Science of Being Transgender,en-GB,,https://www.gimletmedia.com/science-vs/the-science-of-being-transgender,https://traffic.megaphone.fm/GLT8377277641.mp3,,,,,
reply-all,127-the-crime-machine-part-1,"The Crime Machine, Part I
",en-US,127,https://www.gimletmedia.com/reply-all/127-the-crime-machine-part-i,https://traffic.megaphone.fm/GLT1353849859.mp3,,,,,
reply-all,128-the-crime-machine-part-2,"The Crime Machine, Part II
",en-US,128,https://www.gimletmedia.com/reply-all/128-the-crime-machine-part-ii,https://traffic.megaphone.fm/GLT1842321506.mp3,,,,,
reply-all,112-the-prophet,The Prophet,en-US,112,https://www.gimletmedia.com/reply-all/112-the-prophet,https://traffic.megaphone.fm/GLT9712727323.mp3,,,,,
